Année;Population au 1er janvier;Nombre de naissances vivantes;Nombre de décès;Solde naturel;Solde migratoire évalué;Ajustement (a);
1946;40125230;843904;545880;298024;25000;0;
1947;40448254;870472;538157;332315;130000;0;
1948;40910569;870836;513210;357626;45000;0;
1949;41313195;872661;573598;299063;35000;0;
1950;41647258;862310;534480;327830;35000;0;
1951;42010088;826722;565829;260893;30000;0;
1952;42300981;822204;524831;297373;20000;0;
1953;42618354;804696;556983;247713;19071;0;
1954;42885138;810754;518892;291862;50872;0;
1955;43227872;805917;526322;279595;120000;0;
1956;43627467;806916;545700;261216;170000;0;
1957;44058683;816467;532107;284360;220000;0;
1958;44563043;812215;500596;311619;140000;0;
1959;45014662;829249;509114;320135;130000;0;
1960;45464797;819819;520960;298859;140000;0;
1961;45903656;838633;500289;338344;180000;0;
1962;46422000;832353;541147;291206;860200;0;
1963;47573406;868876;557852;311024;214599;-40000;
1964;48059029;877804;520033;357771;185000;-40000;
1965;48561800;865688;543696;321992;110000;-40000;
1966;48953792;863527;528782;334745;125000;-40000;
1967;49373537;840568;543033;297535;92000;-40000;
1968;49723072;835796;553441;282355;102308;0;
1969;50107735;842245;573335;268910;151574;0;
1970;50528219;850381;542277;308104;179911;0;
1971;51016234;881284;554151;327133;142586;0;
1972;51485953;877506;549900;327606;102314;0;
1973;51915873;857186;558782;298404;106448;0;
1974;52320725;801218;552551;248667;30608;0;
1975;52600000;745065;560353;184712;13626;0;
1976;52798338;720395;557114;163281;57386;0;
1977;53019005;744744;536221;208523;44038;0;
1978;53271566;737062;546916;190146;19361;0;
1979;53481073;757354;541805;215549;34765;0;
1980;53731387;800376;547107;253269;43974;0;
1981;54028630;805483;554823;250660;55710;0;
1982;54335000;797223;543104;254119;60865;0;
1983;54649984;748525;559655;188870;56000;0;
1984;54894854;759939;542490;217449;45000;0;
1985;55157303;768431;552496;215935;38000;0;
1986;55411238;778468;546926;231542;39000;0;
1987;55681780;767828;527466;240362;44000;0;
1988;55966142;771268;524600;246668;57000;0;
1989;56269810;765473;529283;236190;71000;0;
1990;56577000;762407;526201;236206;80000;-52545;
1991;56840661;759056;524685;234371;90000;-54499;
1992;57110533;743658;521530;222128;90000;-53500;
1993;57369161;711610;532263;179347;70000;-53500;
1994;57565008;710993;519965;191028;50000;-53501;
1995;57752535;729609;531618;197991;40000;-54567;
1996;57935959;734338;535775;198563;35000;-53504;
1997;58116018;726768;530319;196449;40000;-53505;
1998;58298962;738080;534005;204075;45000;-51424;
1999;58496613;744791;537661;207130;60000;94455;
2000;58858198;774782;530864;243918;70000;94456;
2001;59266572;770945;531073;239872;85000;94455;
2002;59685899;761630;535144;226486;95000;94456;
2003;60101841;761464;552339;209125;100000;94455;
2004;60505421;767816;509429;258387;105000;94456;
2005;60963264;774355;527533;246822;95000;94647;
2006;61399733;796896;516416;280480;115025;0;
2007;61795238;785985;521016;264969;74659;0;
2008;62134866;796044;532131;263913;66930;0;
2009;62465709;793420;538116;255304;44222;0;
2010;62765235;802224;540469;261755;43354;0;
2011;63070344;792996;534795;258201;47426;0;
2012;63375971;790290;559227;231063;90831;0;
2013;63697865;781621;558408;223213;106880;0;
2014;64027958;781167;547003;234164;38699;0;
2015;64300821;760421;581770;178651;53025;-63705;
2016;64468792;744697;581073;163624;87964;-81247;
2017;64639133;730242;593606;136636;60000;-98000;
2018;64737769;719737;596552;123185;60000;-99000;
2019;64821954;714000;599000;115000;60000;-99000;
